ابتلاع التهام
ابتهاج فرح
اتهام ادعاء
اثبات تأكيد
اثر علامة
اجتماع اتحاد
احاطة تطويق
إحالة ارسال
احبط افشل
احتقار ازدراء
احسن اتقن
اخذ تناول
اخر إضافي
ادرك عرف
ارسل بعث
ارعب خاف
استخدم وظف
استعان استنجد
اصلح صحح
اطلق حرر
باب مدخل
تافه حقير
تأخر تخلف
تبرع منح
تبسم ضحك
تحالف اتحاد
تحاور تحادث
تخطى تجاوز
تخفيف انقاص
تراضى توافق
ترخيص إجازة
تسديد دفع
تشابه تماثل
تطابق انسجام
تطور تقدم
تعادل توازن
تفاوت تباين
توهم ظن
توالى تعاقب
توافق تطابق
ثابر داوم
ثأر انتقم
ثقل عبء
ثقف اجاد
ثابت شجاع
ثراء غنى
ثقافة علم
ثقب خرق
ثبات دوام
ثقة وثوق
ثعبان حية
ثريا مصابيح
ثرثار مهذار
ثلج برد
ثكل هلاك
ثقل شدة
ثلة فرقة
ثبور هلاك
ثخين سميك
ثاقب صائب
جاء حضر
جائحة بلاء
جائر ظالم
جاد اعطى
جادل حاور
جحد كفر
جد اجتهاد
جر شد
جزع خاف
جزم قرر
جزمة حذاء
جزيل وفير
جسر معبر
جسم جسد
جف نضب
جهنم جحيم
جوهر صميم
جوف داخل
جنة روضة
جهل غباء
حاجة رغبة
حاسم قاطع
حاشية حافة
حاصر طوق
حافة جانب
حال منع
حامد شاكر
حالف عاهد
حذر وقاية
حرض حث
حرق اشعل
حريم نساء
حزن غم
حمى حرارة
حيوان بهيمة
حياء خجل
حكاية قصة
حكمة عظة
حل حرر
حلف قسم
خادع ماكر
خارق نادر
خاضع مستسلم
خاطر جازف
خرق خرم
خروج ذهاب
خشي خاف
خزي عار
خلف ولد
خلق انشاء
خلل عيب
خلافة ملك
خلاصة موجز
خلاف نزاع
خليل صديق
خمار قناع
خشية رهبة
خيار نخبة
خطب مصيبة
خصام خلاف
داء مرض
دائما مستمر
دراسة علم
دماغ رأس
دهشة ذهول
دلس غش
دليل اثبات
دقة اتقان
دعاء رجاء
درس عبرة
درب سبيل
داهية ماهر
دافع حمى
داع سبب
دائرة حلقة
داعم مساعد
دخول نفاذ
دخيل غريب
دعم مساندة
دفاع ذود
ذاب سال
ذاع شاع
ذاق اكل
ذاهب راحل
ذبح نحر
ذروه قمه
ذعر خوف
ذعن خضع
ذريعه مبرر
ذعر خوف
ذل هان
ذنب خطيئه
ذهب رحل
ذهن بال
ذنب معصيه
ذل هوان
ذريه سلاله
ذاكر باحث
ذاد حمى
ذباب بعوض
رأى شاهد
راسب خاسر
راسخ ثابت
رافض معترض
رتبة منصب
ربح فاز
رباط حزام
رجاء رغبة
رسالة خطاب
رصد راقب
رقد نام
رقيق ناعم
ريب شك
روضة حديقة
ريف مزرعة
رمز إشارة
رمل غبار
رقبة عنق
رقة حنان
رفيق صديق
زائر ضيف
زاح ابعد
زال غاب
زبدة خلاصة
زاهد متعبد
زمن وقت
زهيد قليل
زواج قران
زوال فناء
زورق قارب
زيادة فائض
زيف كذب
زعيم سيد
زلة خطيئة
زكاة حسنة
زفاف زواج
زخرفة زينة
زراعة حرث
زينة روعة
زهرة وردة
ساحة فناء
ساحق عميق
ساحل شاطئ
ساحن حار
ساد انتشر
ساتر فاصل
ساذج احمق
سامح صفح
ساند ساعد
ساهم شارك
